The message ID:                         :The no. of transmission          :Message Reached at destination
/promote/item-00190-10000               :14                                :YES
/promote/item-00126-10000               :17                                :YES
/promote/item-00120-10000               :14                                :YES
/promote/item-00077-10000               :15                                :YES
/promote/item-00032-10000               :17                                :YES
/promote/item-00061-10000               :14                                :YES
/promote/item-00101-10000               :16                                :YES
/promote/item-00078-10000               :14                                :YES
/promote/item-00083-10000               :15                                :YES
/promote/item-00021-10000               :17                                :YES
/promote/item-00148-10000               :16                                :YES
/promote/item-00033-10000               :13                                :YES
/promote/item-00001-10000               :16                                :YES
/promote/item-00177-10000               :14                                :YES
/promote/item-00109-10000               :16                                :YES
/promote/item-00062-10000               :12                                :YES
/promote/item-00189-10000               :16                                :YES
/promote/item-00169-10000               :12                                :YES
/promote/item-00111-10000               :16                                :YES
/promote/item-00180-10000               :13                                :YES
/promote/item-00079-10000               :17                                :YES
/promote/item-00000-10000               :16                                :YES
/promote/item-00192-10000               :14                                :YES
/promote/item-00034-10000               :13                                :YES
/promote/item-00031-10000               :17                                :YES
/promote/item-00098-10000               :16                                :YES
/promote/item-00118-10000               :17                                :YES
/promote/item-00095-10000               :19                                :YES
/promote/item-00070-10000               :15                                :YES
/promote/item-00039-10000               :15                                :YES
/promote/item-00186-10000               :14                                :YES
/promote/item-00048-10000               :16                                :YES
/promote/item-00107-10000               :13                                :YES
/promote/item-00144-10000               :14                                :YES
/promote/item-00128-10000               :14                                :YES
/promote/item-00151-10000               :14                                :YES
/promote/item-00129-10000               :14                                :YES
/promote/item-00196-10000               :15                                :YES
/promote/item-00035-10000               :16                                :YES
/promote/item-00040-10000               :16                                :YES
/promote/item-00090-10000               :16                                :YES
/promote/item-00010-10000               :18                                :YES
/promote/item-00006-10001               :9                                :NO
/promote/item-00087-10001               :9                                :NO
/promote/item-00181-10001               :11                                :YES
/promote/item-00004-10001               :12                                :YES
/promote/item-00174-10001               :11                                :YES
/promote/item-00172-10001               :10                                :YES
/promote/item-00022-10001               :10                                :YES
/promote/item-00050-10001               :9                                :YES
/promote/item-00036-10001               :11                                :YES
/promote/item-00026-10001               :9                                :NO
/promote/item-00113-10001               :13                                :YES
/promote/item-00127-10001               :10                                :YES
/promote/item-00131-10001               :9                                :NO
/promote/item-00122-10001               :10                                :YES
/promote/item-00132-10001               :12                                :YES
/promote/item-00074-10001               :10                                :YES
/promote/item-00009-10001               :9                                :NO
/promote/item-00043-10001               :12                                :YES
/promote/item-00099-10001               :10                                :YES
/promote/item-00071-10001               :10                                :YES
/promote/item-00185-10001               :10                                :YES
/promote/item-00106-10001               :12                                :YES
/promote/item-00089-10001               :14                                :YES
/promote/item-00156-10001               :8                                :NO
/promote/item-00082-10001               :10                                :YES
/promote/item-00116-10001               :11                                :YES
/promote/item-00020-10001               :12                                :YES
/promote/item-00058-10001               :12                                :YES
/promote/item-00119-10001               :10                                :YES
/promote/item-00193-10001               :12                                :YES
/promote/item-00158-10001               :11                                :YES
/promote/item-00104-10001               :11                                :YES
/promote/item-00044-10001               :14                                :YES
/promote/item-00150-10001               :11                                :YES
/promote/item-00123-10001               :11                                :YES
/promote/item-00010-10001               :12                                :YES
/promote/item-00047-10001               :9                                :NO
/promote/item-00041-10001               :12                                :YES
/promote/item-00164-10001               :12                                :YES
/promote/item-00068-10001               :10                                :YES
/promote/item-00191-10001               :9                                :NO
/promote/item-00029-10001               :9                                :NO
/promote/item-00136-10001               :13                                :YES
/promote/item-00153-10001               :12                                :YES
/promote/item-00055-10001               :11                                :YES
/promote/item-00092-10001               :11                                :YES
/promote/item-00088-10001               :9                                :NO
/promote/item-00049-10001               :9                                :NO
/promote/item-00066-10001               :13                                :YES
/promote/item-00011-10001               :14                                :YES
/promote/item-00147-10001               :10                                :YES
/promote/item-00008-10001               :9                                :NO
/promote/item-00141-10001               :11                                :YES
/promote/item-00154-10001               :11                                :YES
/promote/item-00091-10001               :11                                :YES
/promote/item-00135-10001               :13                                :YES
/promote/item-00168-10001               :11                                :YES
/promote/item-00075-10001               :10                                :YES
/promote/item-00081-10001               :10                                :YES
/promote/item-00115-10001               :9                                :NO
