The message ID:                         :The no. of transmission          :Message Reached at destination
/promote/item-00091-10000               :73                                :YES
/promote/item-00191-10000               :74                                :YES
/promote/item-00099-10000               :70                                :YES
/promote/item-00087-10000               :66                                :YES
/promote/item-00006-10000               :78                                :YES
/promote/item-00060-10000               :85                                :YES
/promote/item-00132-10000               :83                                :YES
/promote/item-00037-10000               :72                                :YES
/promote/item-00063-10000               :74                                :YES
/promote/item-00170-10000               :70                                :YES
/promote/item-00181-10000               :90                                :YES
/promote/item-00175-10000               :87                                :YES
/promote/item-00131-10000               :81                                :YES
/promote/item-00137-10000               :80                                :YES
/promote/item-00004-10000               :39                                :YES
/promote/item-00071-10000               :75                                :YES
/promote/item-00174-10000               :77                                :YES
/promote/item-00017-10000               :69                                :YES
/promote/item-00142-10000               :71                                :YES
/promote/item-00141-10000               :63                                :YES
/promote/item-00135-10000               :56                                :YES
/promote/item-00041-10000               :71                                :YES
/promote/item-00069-10000               :76                                :YES
/promote/item-00172-10000               :52                                :YES
/promote/item-00026-10000               :76                                :YES
/promote/item-00121-10000               :63                                :YES
/promote/item-00127-10000               :71                                :YES
/promote/item-00184-10000               :70                                :YES
/promote/item-00089-10000               :76                                :YES
/promote/item-00125-10000               :76                                :YES
/promote/item-00002-10000               :72                                :YES
/promote/item-00023-10000               :79                                :YES
/promote/item-00073-10000               :65                                :YES
/promote/item-00102-10000               :76                                :YES
/promote/item-00122-10000               :79                                :YES
/promote/item-00050-10000               :74                                :YES
/promote/item-00020-10000               :66                                :YES
/promote/item-00027-10000               :69                                :YES
/promote/item-00094-10000               :62                                :YES
/promote/item-00136-10000               :49                                :YES
/promote/item-00176-10000               :78                                :YES
/promote/item-00182-10000               :59                                :YES
/promote/item-00165-10000               :53                                :YES
/promote/item-00022-10000               :54                                :YES
/promote/item-00074-10000               :76                                :YES
/promote/item-00116-10000               :78                                :YES
/promote/item-00011-10000               :41                                :YES
/promote/item-00036-10000               :56                                :YES
/promote/item-00005-10000               :85                                :YES
/promote/item-00065-10000               :70                                :YES
/promote/item-00092-10000               :80                                :YES
/promote/item-00055-10000               :72                                :YES
/promote/item-00057-10000               :64                                :YES
/promote/item-00082-10000               :76                                :YES
/promote/item-00028-10000               :69                                :YES
/promote/item-00072-10000               :83                                :YES
/promote/item-00076-10000               :75                                :YES
/promote/item-00178-10000               :69                                :YES
/promote/item-00008-10000               :71                                :YES
/promote/item-00064-10000               :72                                :YES
/promote/item-00043-10000               :50                                :YES
/promote/item-00051-10000               :66                                :YES
/promote/item-00161-10000               :51                                :YES
/promote/item-00147-10000               :77                                :YES
/promote/item-00085-10000               :72                                :YES
/promote/item-00171-10000               :69                                :YES
/promote/item-00157-10000               :74                                :YES
/promote/item-00162-10000               :71                                :YES
/promote/item-00053-10000               :56                                :YES
/promote/item-00058-10000               :70                                :YES
/promote/item-00155-10000               :76                                :YES
/promote/item-00009-10000               :69                                :YES
/promote/item-00112-10000               :62                                :YES
/promote/item-00029-10000               :70                                :YES
/promote/item-00158-10000               :53                                :YES
/promote/item-00188-10000               :75                                :YES
