The message ID:                         :The no. of transmission          :Message Reached at destination
/promote/item-00067-10000               :243                                :YES
/promote/item-00412-10000               :154                                :YES
/promote/item-00059-10000               :175                                :YES
/promote/item-00156-10000               :305                                :YES
/promote/item-00311-10000               :283                                :YES
/promote/item-00453-10000               :190                                :YES
/promote/item-00241-10000               :225                                :YES
/promote/item-00042-10000               :199                                :YES
/promote/item-00289-10000               :222                                :YES
/promote/item-00205-10000               :211                                :YES
/promote/item-00199-10000               :228                                :YES
/promote/item-00399-10000               :180                                :YES
/promote/item-00029-10000               :171                                :YES
/promote/item-00342-10000               :313                                :YES
/promote/item-00294-10000               :202                                :YES
/promote/item-00468-10000               :203                                :YES
/promote/item-00447-10000               :222                                :YES
/promote/item-00499-10000               :229                                :YES
/promote/item-00044-10000               :210                                :YES
/promote/item-00476-10000               :102                                :YES
/promote/item-00108-10000               :231                                :YES
/promote/item-00123-10000               :197                                :YES
/promote/item-00498-10000               :198                                :YES
/promote/item-00104-10000               :118                                :YES
/promote/item-00130-10000               :241                                :YES
/promote/item-00160-10000               :233                                :YES
/promote/item-00434-10000               :176                                :YES
/promote/item-00301-10000               :244                                :YES
/promote/item-00422-10000               :280                                :YES
/promote/item-00167-10000               :277                                :YES
/promote/item-00306-10000               :189                                :YES
/promote/item-00049-10000               :214                                :YES
/promote/item-00293-10000               :119                                :YES
/promote/item-00166-10000               :218                                :YES
/promote/item-00328-10000               :181                                :YES
/promote/item-00354-10000               :218                                :YES
/promote/item-00134-10000               :76                                :YES
/promote/item-00246-10000               :195                                :YES
/promote/item-00444-10000               :178                                :YES
/promote/item-00297-10000               :128                                :YES
/promote/item-00396-10000               :247                                :YES
/promote/item-00206-10000               :169                                :YES
/promote/item-00236-10000               :218                                :YES
/promote/item-00443-10000               :142                                :YES
/promote/item-00470-10000               :254                                :YES
/promote/item-00242-10000               :187                                :YES
/promote/item-00198-10000               :172                                :YES
/promote/item-00264-10000               :154                                :YES
/promote/item-00377-10000               :179                                :YES
/promote/item-00329-10000               :159                                :YES
/promote/item-00380-10000               :231                                :YES
/promote/item-00456-10000               :247                                :YES
/promote/item-00363-10000               :321                                :YES
/promote/item-00025-10000               :252                                :YES
/promote/item-00304-10000               :163                                :YES
/promote/item-00274-10000               :185                                :YES
/promote/item-00441-10000               :170                                :YES
/promote/item-00357-10000               :169                                :YES
/promote/item-00081-10000               :145                                :YES
/promote/item-00114-10000               :129                                :YES
/promote/item-00228-10000               :192                                :YES
/promote/item-00024-10000               :220                                :YES
/promote/item-00103-10000               :261                                :YES
/promote/item-00080-10000               :132                                :YES
/promote/item-00336-10000               :189                                :YES
/promote/item-00117-10000               :272                                :YES
/promote/item-00475-10000               :194                                :YES
/promote/item-00465-10000               :140                                :YES
/promote/item-00421-10000               :188                                :YES
/promote/item-00437-10000               :154                                :YES
/promote/item-00427-10000               :155                                :YES
/promote/item-00014-10000               :155                                :YES
/promote/item-00084-10000               :191                                :YES
/promote/item-00115-10000               :184                                :YES
/promote/item-00105-10000               :240                                :YES
/promote/item-00290-10000               :197                                :YES
/promote/item-00133-10000               :174                                :YES
/promote/item-00038-10000               :134                                :YES
/promote/item-00253-10000               :178                                :YES
/promote/item-00333-10000               :236                                :YES
/promote/item-00360-10000               :205                                :YES
/promote/item-00485-10000               :156                                :YES
/promote/item-00291-10000               :196                                :YES
/promote/item-00267-10000               :202                                :YES
/promote/item-00195-10000               :151                                :YES
/promote/item-00251-10000               :197                                :YES
/promote/item-00366-10000               :218                                :YES
/promote/item-00168-10000               :170                                :YES
/promote/item-00426-10000               :105                                :YES
/promote/item-00075-10000               :158                                :YES
/promote/item-00100-10000               :166                                :YES
/promote/item-00179-10000               :153                                :YES
/promote/item-00484-10000               :147                                :YES
/promote/item-00247-10000               :200                                :YES
/promote/item-00146-10000               :239                                :YES
/promote/item-00298-10000               :196                                :YES
/promote/item-00153-10000               :180                                :YES
/promote/item-00319-10000               :107                                :YES
/promote/item-00066-10000               :237                                :YES
/promote/item-00451-10000               :180                                :YES
/promote/item-00455-10000               :140                                :YES
/promote/item-00496-10000               :130                                :YES
/promote/item-00152-10000               :175                                :YES
/promote/item-00477-10000               :157                                :YES
/promote/item-00491-10000               :267                                :YES
/promote/item-00045-10000               :328                                :YES
/promote/item-00202-10000               :257                                :YES
/promote/item-00056-10000               :139                                :YES
/promote/item-00364-10000               :180                                :YES
/promote/item-00279-10000               :157                                :YES
/promote/item-00347-10000               :294                                :YES
/promote/item-00110-10000               :107                                :YES
/promote/item-00046-10000               :143                                :YES
/promote/item-00262-10000               :91                                :YES
/promote/item-00163-10000               :157                                :YES
/promote/item-00429-10000               :293                                :YES
/promote/item-00436-10000               :192                                :YES
/promote/item-00395-10000               :330                                :YES
/promote/item-00159-10000               :180                                :YES
/promote/item-00386-10000               :204                                :YES
/promote/item-00295-10000               :143                                :YES
/promote/item-00359-10000               :242                                :YES
/promote/item-00450-10000               :205                                :YES
/promote/item-00019-10000               :231                                :YES
/promote/item-00313-10000               :306                                :YES
/promote/item-00403-10000               :173                                :YES
/promote/item-00281-10000               :225                                :YES
/promote/item-00093-10000               :171                                :YES
/promote/item-00408-10000               :169                                :YES
/promote/item-00012-10000               :128                                :YES
/promote/item-00013-10000               :187                                :YES
/promote/item-00143-10000               :145                                :YES
/promote/item-00300-10000               :269                                :YES
/promote/item-00283-10000               :261                                :YES
/promote/item-00381-10000               :216                                :YES
/promote/item-00309-10000               :87                                :YES
/promote/item-00032-10000               :223                                :YES
/promote/item-00474-10000               :139                                :YES
/promote/item-00204-10000               :163                                :YES
/promote/item-00334-10000               :172                                :YES
/promote/item-00235-10000               :191                                :YES
/promote/item-00365-10000               :1                                :YES
/promote/item-00416-10000               :166                                :YES
/promote/item-00322-10000               :264                                :YES
/promote/item-00217-10000               :242                                :YES
/promote/item-00106-10000               :213                                :YES
/promote/item-00149-10000               :158                                :YES
/promote/item-00258-10000               :188                                :YES
/promote/item-00466-10000               :151                                :YES
/promote/item-00218-10000               :212                                :YES
/promote/item-00154-10000               :163                                :YES
/promote/item-00003-10000               :170                                :YES
/promote/item-00088-10000               :131                                :YES
