The message ID:                         :The no. of transmission          :Message Reached at destination
/promote/item-00193-10000               :13496                                :YES
/promote/item-00058-10000               :10956                                :YES
/promote/item-00405-10000               :8752                                :YES
/promote/item-00469-10000               :9562                                :YES
/promote/item-00028-10000               :10055                                :YES
/promote/item-00270-10000               :9906                                :YES
/promote/item-00369-10000               :11050                                :YES
/promote/item-00478-10000               :10764                                :YES
/promote/item-00072-10000               :10445                                :YES
/promote/item-00423-10000               :10409                                :YES
/promote/item-00185-10000               :11532                                :YES
/promote/item-00269-10000               :10545                                :YES
/promote/item-00214-10000               :10035                                :YES
/promote/item-00233-10000               :12401                                :YES
/promote/item-00064-10000               :8319                                :YES
/promote/item-00418-10000               :10878                                :YES
/promote/item-00480-10000               :11480                                :YES
/promote/item-00244-10000               :9733                                :YES
/promote/item-00320-10000               :8329                                :YES
/promote/item-00446-10000               :11291                                :YES
/promote/item-00139-10000               :9444                                :YES
/promote/item-00350-10000               :10432                                :YES
/promote/item-00043-10000               :9254                                :YES
/promote/item-00323-10000               :11458                                :YES
/promote/item-00326-10000               :12409                                :YES
/promote/item-00432-10000               :10212                                :YES
/promote/item-00321-10000               :10542                                :YES
/promote/item-00173-10000               :9790                                :YES
/promote/item-00085-10000               :9172                                :YES
/promote/item-00370-10000               :6263                                :YES
/promote/item-00409-10000               :11811                                :YES
/promote/item-00053-10000               :7581                                :YES
/promote/item-00314-10000               :11764                                :YES
/promote/item-00178-10000               :7647                                :YES
/promote/item-00362-10000               :12128                                :YES
/promote/item-00490-10000               :10812                                :YES
/promote/item-00119-10000               :11121                                :YES
/promote/item-00473-10000               :8498                                :YES
/promote/item-00161-10000               :11007                                :YES
/promote/item-00492-10000               :8573                                :YES
/promote/item-00351-10000               :11657                                :YES
/promote/item-00390-10000               :10737                                :YES
/promote/item-00239-10000               :8532                                :YES
/promote/item-00317-10000               :11172                                :YES
/promote/item-00389-10000               :8218                                :YES
/promote/item-00305-10000               :8305                                :YES
/promote/item-00111-10000               :12398                                :YES
/promote/item-00339-10000               :9302                                :YES
/promote/item-00171-10000               :12090                                :YES
/promote/item-00400-10000               :10894                                :YES
/promote/item-00157-10000               :10624                                :YES
/promote/item-00494-10000               :11062                                :YES
/promote/item-00007-10000               :8740                                :YES
/promote/item-00051-10000               :10254                                :YES
/promote/item-00419-10000               :10731                                :YES
/promote/item-00041-10000               :11174                                :YES
/promote/item-00188-10000               :9911                                :YES
/promote/item-00462-10000               :9389                                :YES
/promote/item-00378-10000               :12564                                :YES
/promote/item-00112-10000               :10912                                :YES
/promote/item-00219-10000               :12513                                :YES
/promote/item-00349-10000               :11053                                :YES
/promote/item-00487-10000               :9928                                :YES
/promote/item-00486-10000               :11320                                :YES
/promote/item-00237-10000               :11373                                :YES
/promote/item-00331-10000               :9803                                :YES
/promote/item-00068-10000               :10590                                :YES
/promote/item-00263-10000               :9179                                :YES
/promote/item-00158-10000               :9955                                :YES
/promote/item-00150-10000               :8548                                :YES
/promote/item-00147-10000               :9513                                :YES
/promote/item-00483-10000               :6123                                :YES
/promote/item-00015-10000               :13647                                :YES
/promote/item-00030-10000               :11884                                :YES
/promote/item-00324-10000               :10659                                :YES
/promote/item-00285-10000               :8489                                :YES
/promote/item-00289-10000               :10195                                :YES
/promote/item-00067-10000               :11227                                :YES
/promote/item-00361-10000               :10961                                :YES
/promote/item-00059-10000               :12513                                :YES
/promote/item-00042-10000               :11520                                :YES
/promote/item-00047-10000               :9878                                :YES
/promote/item-00156-10000               :10913                                :YES
