The message ID:                         :The no. of transmission          :Message Reached at destination
/promote/item-00269-10000               :207                                :YES
/promote/item-00028-10000               :218                                :YES
/promote/item-00480-10000               :146                                :YES
/promote/item-00478-10000               :187                                :YES
/promote/item-00423-10000               :176                                :YES
/promote/item-00185-10000               :196                                :YES
/promote/item-00214-10000               :195                                :YES
/promote/item-00072-10000               :236                                :YES
/promote/item-00418-10000               :142                                :YES
/promote/item-00320-10000               :220                                :YES
/promote/item-00350-10000               :195                                :YES
/promote/item-00064-10000               :212                                :YES
/promote/item-00323-10000               :172                                :YES
/promote/item-00432-10000               :177                                :YES
/promote/item-00139-10000               :211                                :YES
/promote/item-00409-10000               :177                                :YES
/promote/item-00326-10000               :172                                :YES
/promote/item-00043-10000               :219                                :YES
/promote/item-00446-10000               :159                                :YES
/promote/item-00321-10000               :240                                :YES
/promote/item-00244-10000               :178                                :YES
/promote/item-00005-10000               :185                                :YES
/promote/item-00085-10000               :197                                :YES
/promote/item-00119-10000               :199                                :YES
/promote/item-00173-10000               :146                                :YES
/promote/item-00053-10000               :188                                :YES
/promote/item-00362-10000               :161                                :YES
/promote/item-00492-10000               :209                                :YES
/promote/item-00161-10000               :148                                :YES
/promote/item-00314-10000               :155                                :YES
/promote/item-00490-10000               :207                                :YES
/promote/item-00473-10000               :209                                :YES
/promote/item-00390-10000               :199                                :YES
/promote/item-00178-10000               :195                                :YES
/promote/item-00111-10000               :211                                :YES
/promote/item-00147-10000               :195                                :YES
/promote/item-00351-10000               :268                                :YES
/promote/item-00400-10000               :200                                :YES
/promote/item-00239-10000               :173                                :YES
/promote/item-00171-10000               :236                                :YES
/promote/item-00305-10000               :225                                :YES
/promote/item-00317-10000               :202                                :YES
/promote/item-00339-10000               :192                                :YES
/promote/item-00494-10000               :160                                :YES
/promote/item-00051-10000               :211                                :YES
/promote/item-00157-10000               :71                                :YES
/promote/item-00419-10000               :235                                :YES
/promote/item-00378-10000               :155                                :YES
/promote/item-00188-10000               :235                                :YES
/promote/item-00462-10000               :209                                :YES
/promote/item-00112-10000               :191                                :YES
/promote/item-00487-10000               :234                                :YES
/promote/item-00041-10000               :197                                :YES
/promote/item-00237-10000               :208                                :YES
/promote/item-00219-10000               :141                                :YES
/promote/item-00068-10000               :147                                :YES
/promote/item-00158-10000               :197                                :YES
/promote/item-00263-10000               :160                                :YES
/promote/item-00324-10000               :141                                :YES
/promote/item-00164-10000               :154                                :YES
/promote/item-00331-10000               :142                                :YES
/promote/item-00349-10000               :226                                :YES
/promote/item-00150-10000               :213                                :YES
/promote/item-00486-10000               :241                                :YES
/promote/item-00483-10000               :181                                :YES
/promote/item-00389-10000               :173                                :YES
/promote/item-00285-10000               :187                                :YES
/promote/item-00007-10000               :171                                :YES
/promote/item-00054-10000               :164                                :YES
