The message ID:                         :The no. of transmission          :Message Reached at destination
/promote/item-00379-10000               :149                                :YES
/promote/item-00398-10000               :158                                :YES
/promote/item-00091-10000               :128                                :YES
/promote/item-00069-10000               :152                                :YES
/promote/item-00191-10000               :152                                :YES
/promote/item-00292-10000               :167                                :YES
/promote/item-00087-10000               :143                                :YES
/promote/item-00099-10000               :166                                :YES
/promote/item-00343-10000               :140                                :YES
/promote/item-00006-10000               :142                                :YES
/promote/item-00458-10000               :166                                :YES
/promote/item-00125-10000               :153                                :YES
/promote/item-00222-10000               :115                                :YES
/promote/item-00245-10000               :116                                :YES
/promote/item-00259-10000               :145                                :YES
/promote/item-00273-10000               :140                                :YES
/promote/item-00278-10000               :168                                :YES
/promote/item-00384-10000               :152                                :YES
/promote/item-00371-10000               :160                                :YES
/promote/item-00414-10000               :153                                :YES
/promote/item-00055-10000               :161                                :YES
/promote/item-00307-10000               :158                                :YES
/promote/item-00406-10000               :170                                :YES
/promote/item-00132-10000               :119                                :YES
/promote/item-00181-10000               :128                                :YES
/promote/item-00226-10000               :164                                :YES
/promote/item-00060-10000               :149                                :YES
/promote/item-00315-10000               :157                                :YES
/promote/item-00435-10000               :114                                :YES
/promote/item-00170-10000               :152                                :YES
/promote/item-00037-10000               :161                                :YES
/promote/item-00431-10000               :145                                :YES
/promote/item-00471-10000               :123                                :YES
/promote/item-00063-10000               :179                                :YES
/promote/item-00341-10000               :155                                :YES
/promote/item-00325-10000               :162                                :YES
/promote/item-00424-10000               :151                                :YES
/promote/item-00175-10000               :141                                :YES
/promote/item-00018-10000               :127                                :YES
/promote/item-00036-10000               :165                                :YES
/promote/item-00296-10000               :109                                :YES
/promote/item-00439-10000               :152                                :YES
/promote/item-00131-10000               :133                                :YES
/promote/item-00280-10000               :164                                :YES
/promote/item-00137-10000               :172                                :YES
/promote/item-00275-10000               :167                                :YES
/promote/item-00211-10000               :156                                :YES
/promote/item-00234-10000               :173                                :YES
/promote/item-00004-10000               :133                                :YES
/promote/item-00050-10000               :140                                :YES
/promote/item-00071-10000               :150                                :YES
/promote/item-00299-10000               :126                                :YES
/promote/item-00383-10000               :165                                :YES
/promote/item-00452-10000               :147                                :YES
/promote/item-00454-10000               :136                                :YES
/promote/item-00172-10000               :148                                :YES
/promote/item-00127-10000               :161                                :YES
/promote/item-00335-10000               :132                                :YES
/promote/item-00373-10000               :149                                :YES
/promote/item-00449-10000               :158                                :YES
/promote/item-00375-10000               :108                                :YES
/promote/item-00445-10000               :140                                :YES
/promote/item-00073-10000               :160                                :YES
/promote/item-00174-10000               :131                                :YES
/promote/item-00017-10000               :161                                :YES
/promote/item-00223-10000               :138                                :YES
/promote/item-00404-10000               :156                                :YES
/promote/item-00135-10000               :136                                :YES
/promote/item-00243-10000               :148                                :YES
/promote/item-00142-10000               :153                                :YES
/promote/item-00062-10000               :153                                :YES
/promote/item-00141-10000               :143                                :YES
/promote/item-00327-10000               :159                                :YES
/promote/item-00184-10000               :138                                :YES
/promote/item-00260-10000               :146                                :YES
/promote/item-00136-10000               :159                                :YES
/promote/item-00467-10000               :109                                :YES
/promote/item-00461-10000               :152                                :YES
/promote/item-00388-10000               :142                                :YES
/promote/item-00082-10000               :152                                :YES
/promote/item-00391-10000               :150                                :YES
/promote/item-00076-10000               :146                                :YES
/promote/item-00472-10000               :160                                :YES
/promote/item-00102-10000               :134                                :YES
/promote/item-00225-10000               :151                                :YES
/promote/item-00387-10000               :137                                :YES
/promote/item-00459-10000               :159                                :YES
/promote/item-00332-10000               :110                                :YES
/promote/item-00448-10000               :133                                :YES
/promote/item-00417-10000               :98                                :YES
/promote/item-00318-10000               :163                                :YES
/promote/item-00023-10000               :170                                :YES
/promote/item-00113-10000               :106                                :YES
/promote/item-00155-10000               :153                                :YES
/promote/item-00074-10000               :139                                :YES
/promote/item-00094-10000               :127                                :YES
/promote/item-00287-10000               :142                                :YES
/promote/item-00026-10000               :94                                :YES
/promote/item-00022-10000               :127                                :YES
/promote/item-00121-10000               :127                                :YES
/promote/item-00089-10000               :167                                :YES
/promote/item-00002-10000               :156                                :YES
/promote/item-00358-10000               :150                                :YES
/promote/item-00463-10000               :165                                :YES
/promote/item-00248-10000               :134                                :YES
/promote/item-00027-10000               :126                                :YES
/promote/item-00200-10000               :162                                :YES
/promote/item-00479-10000               :165                                :YES
/promote/item-00162-10000               :119                                :YES
/promote/item-00268-10000               :164                                :YES
/promote/item-00215-10000               :171                                :YES
/promote/item-00352-10000               :143                                :YES
/promote/item-00277-10000               :133                                :YES
/promote/item-00020-10000               :147                                :YES
/promote/item-00122-10000               :143                                :YES
/promote/item-00176-10000               :118                                :YES
/promote/item-00182-10000               :132                                :YES
/promote/item-00008-10000               :165                                :YES
/promote/item-00382-10000               :156                                :YES
/promote/item-00187-10000               :140                                :YES
/promote/item-00238-10000               :172                                :YES
/promote/item-00165-10000               :145                                :YES
/promote/item-00065-10000               :126                                :YES
/promote/item-00208-10000               :159                                :YES
/promote/item-00057-10000               :138                                :YES
/promote/item-00310-10000               :145                                :YES
/promote/item-00367-10000               :127                                :YES
/promote/item-00286-10000               :141                                :YES
/promote/item-00124-10000               :155                                :YES
/promote/item-00407-10000               :139                                :YES
/promote/item-00232-10000               :153                                :YES
/promote/item-00385-10000               :168                                :YES
/promote/item-00011-10000               :125                                :YES
/promote/item-00489-10000               :157                                :YES
/promote/item-00116-10000               :176                                :YES
/promote/item-00233-10000               :133                                :YES
/promote/item-00481-10000               :115                                :YES
/promote/item-00482-10000               :167                                :YES
/promote/item-00282-10000               :117                                :YES
/promote/item-00005-10000               :158                                :YES
/promote/item-00457-10000               :142                                :YES
/promote/item-00092-10000               :154                                :YES
/promote/item-00355-10000               :155                                :YES
/promote/item-00009-10000               :154                                :YES
/promote/item-00016-10000               :152                                :YES
/promote/item-00230-10000               :139                                :YES
/promote/item-00193-10000               :107                                :YES
/promote/item-00221-10000               :129                                :YES
/promote/item-00440-10000               :168                                :YES
/promote/item-00308-10000               :143                                :YES
